Test Case,File Name,Temperature,Expected Output,Actual Output,Result
13,common_voice_en_41517336.mp3,0.4,,,PASSED
13,common_voice_en_41517336.mp3,0.5,,,PASSED
13,common_voice_en_41517336.mp3,0.6,,,PASSED
13,common_voice_en_41517336.mp3,0.75,,,PASSED
13,common_voice_en_41517336.mp3,1.0,,,PASSED
14,common_voice_en_41423014.mp3,0.0,,,PASSED
14,common_voice_en_41423014.mp3,0.25,,,PASSED
14,common_voice_en_41423014.mp3,0.4,,,PASSED
14,common_voice_en_41423014.mp3,0.5,,,PASSED
14,common_voice_en_41423014.mp3,0.6,,,PASSED
14,common_voice_en_41423014.mp3,0.75,,,PASSED
14,common_voice_en_41423014.mp3,1.0,,,PASSED
15,common_voice_en_41518962.mp3,0.0,,,PASSED
15,common_voice_en_41518962.mp3,0.25,,,PASSED
15,common_voice_en_41518962.mp3,0.4,,,PASSED
15,common_voice_en_41518962.mp3,0.5,,,PASSED
15,common_voice_en_41518962.mp3,0.6,,,PASSED
15,common_voice_en_41518962.mp3,0.75,,,PASSED
15,common_voice_en_41518962.mp3,1.0,,,PASSED
16,common_voice_en_41592181.mp3,0.0,,,PASSED
16,common_voice_en_41592181.mp3,0.25,,,PASSED
16,common_voice_en_41592181.mp3,0.4,,,PASSED
16,common_voice_en_41592181.mp3,0.5,,,PASSED
16,common_voice_en_41592181.mp3,0.6,,,PASSED
16,common_voice_en_41592181.mp3,0.75,,,PASSED
16,common_voice_en_41592181.mp3,1.0,,,PASSED
17,common_voice_en_41532689.mp3,0.0,,,PASSED
17,common_voice_en_41532689.mp3,0.25,,,PASSED
17,common_voice_en_41532689.mp3,0.4,,,PASSED
17,common_voice_en_41532689.mp3,0.5,,,PASSED
17,common_voice_en_41532689.mp3,0.6,,,PASSED
17,common_voice_en_41532689.mp3,0.75,,,PASSED
17,common_voice_en_41532689.mp3,1.0,,,PASSED
18,common_voice_en_41503591.mp3,0.0,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.25,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.4,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.5,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.6,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,0.75,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
18,common_voice_en_41503591.mp3,1.0,After this the town was rebuilt and simply referred to as 'Wells'.,"After this, the town was rebuilt and simply referred to as Wells.",FAILED
19,common_voice_en_41816931.mp3,0.0,,,PASSED
19,common_voice_en_41816931.mp3,0.25,,,PASSED
19,common_voice_en_41816931.mp3,0.4,,,PASSED
19,common_voice_en_41816931.mp3,0.5,,,PASSED
19,common_voice_en_41816931.mp3,0.6,,,PASSED
19,common_voice_en_41816931.mp3,0.75,,,PASSED
19,common_voice_en_41816931.mp3,1.0,,,PASSED
20,common_voice_en_41267069.mp3,0.0,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa",FAILED
20,common_voice_en_41267069.mp3,0.25,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, Kwanatia kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa k",FAILED
20,common_voice_en_41267069.mp3,0.4,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, kwa kwa kwae na kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa",FAILED
20,common_voice_en_41267069.mp3,0.5,"In Korea, carnations express admiration, love and gratitude.","Kata Korea, kwa mtotoa, kwa kwa mtotoa, kata Korea, kwa kwa kwa kwa mtotoa, kata Korea, kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa",FAILED
20,common_voice_en_41267069.mp3,0.6,"In Korea, carnations express admiration, love and gratitude.","Kwa korea, kushanati yata kutulunga, amirasi, nchani, na kushanati.",FAILED
20,common_voice_en_41267069.mp3,0.75,"In Korea, carnations express admiration, love and gratitude.","Kwa Korea, kwa watum Sino ongeo nyingi, naiuni na mbaaya",FAILED
20,common_voice_en_41267069.mp3,1.0,"In Korea, carnations express admiration, love and gratitude.",Nili inaeoma magicina Korea.,FAILED
21,common_voice_en_41659267.mp3,0.0,Naval Academy in Annapolis.,Navaal Academy in Annapolis.,FAILED
21,common_voice_en_41659267.mp3,0.25,,,PASSED
21,common_voice_en_41659267.mp3,0.4,,,PASSED
21,common_voice_en_41659267.mp3,0.5,,,PASSED
21,common_voice_en_41659267.mp3,0.6,,,PASSED
21,common_voice_en_41659267.mp3,0.75,,,PASSED
21,common_voice_en_41659267.mp3,1.0,Naval Academy in Annapolis.,Navala Academy in Annapolis.,FAILED
22,common_voice_en_41629760.mp3,0.0,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.25,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.4,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.5,,,PASSED
22,common_voice_en_41629760.mp3,0.6,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,0.75,"It also likes flower nectar, fruit and some seeds.","It also likes flower, nectar, fruit and some seeds.",FAILED
22,common_voice_en_41629760.mp3,1.0,,,PASSED
23,common_voice_en_41674821.mp3,0.0,"After graduation he served with the royal Prussian geological institute, making photographic surveys.","After graduation, he served with the Royal Prussian Geological Institute, making photographic surveys.",FAILED
23,common_voice_en_41674821.mp3,0.25,"After graduation he served with the royal Prussian geological institute, making photographic surveys.","After graduation, he served with the Royal Prussian Geological Institute, making photographic surveys.",FAILED
23,common_voice_en_41674821.mp3,0.4,"After graduation he served with the royal Prussian geological institute, making photographic surveys.","After graduation, he served with the Royal Prussian Geological Institute, making photographic surveys.",FAILED
23,common_voice_en_41674821.mp3,0.5,,,PASSED
23,common_voice_en_41674821.mp3,0.6,"After graduation he served with the royal Prussian geological institute, making photographic surveys.",After graduation he served with the Royal Prussian Geological Institute making photographic surveys.,FAILED
23,common_voice_en_41674821.mp3,0.75,,,PASSED
23,common_voice_en_41674821.mp3,1.0,,,PASSED
24,common_voice_en_41577054.mp3,0.0,,,PASSED
24,common_voice_en_41577054.mp3,0.25,,,PASSED
24,common_voice_en_41577054.mp3,0.4,,,PASSED
24,common_voice_en_41577054.mp3,0.5,,,PASSED
24,common_voice_en_41577054.mp3,0.6,,,PASSED
24,common_voice_en_41577054.mp3,0.75,,,PASSED
24,common_voice_en_41577054.mp3,1.0,,,PASSED
25,common_voice_en_41583225.mp3,0.0,,,PASSED
25,common_voice_en_41583225.mp3,0.25,,,PASSED
25,common_voice_en_41583225.mp3,0.4,,,PASSED
25,common_voice_en_41583225.mp3,0.5,,,PASSED
25,common_voice_en_41583225.mp3,0.6,,,PASSED
25,common_voice_en_41583225.mp3,0.75,,,PASSED
25,common_voice_en_41583225.mp3,1.0,It has also been proposed as a possible explanation for claims associated with stigmata.,It has also been proposed as a possible explanation for claims associated with stigma arte,FAILED
26,common_voice_en_41662681.mp3,0.0,,,PASSED
26,common_voice_en_41662681.mp3,0.25,,,PASSED
26,common_voice_en_41662681.mp3,0.4,,,PASSED
26,common_voice_en_41662681.mp3,0.5,,,PASSED
26,common_voice_en_41662681.mp3,0.6,,,PASSED
26,common_voice_en_41662681.mp3,0.75,,,PASSED
26,common_voice_en_41662681.mp3,1.0,,,PASSED
27,common_voice_en_41486401.mp3,0.0,,,PASSED
27,common_voice_en_41486401.mp3,0.25,,,PASSED
27,common_voice_en_41486401.mp3,0.4,,,PASSED
27,common_voice_en_41486401.mp3,0.5,,,PASSED
27,common_voice_en_41486401.mp3,0.6,,,PASSED
27,common_voice_en_41486401.mp3,0.75,,,PASSED
27,common_voice_en_41486401.mp3,1.0,Cuttings are slow to strike roots.,Cuttings are slow-to-strike roots.,FAILED
28,common_voice_en_41503529.mp3,0.0,,,PASSED
28,common_voice_en_41503529.mp3,0.25,,,PASSED
28,common_voice_en_41503529.mp3,0.4,,,PASSED
28,common_voice_en_41503529.mp3,0.5,,,PASSED
28,common_voice_en_41503529.mp3,0.6,,,PASSED
28,common_voice_en_41503529.mp3,0.75,,,PASSED
28,common_voice_en_41503529.mp3,1.0,,,PASSED
29,common_voice_en_41678018.mp3,0.0,,,PASSED
29,common_voice_en_41678018.mp3,0.25,,,PASSED
29,common_voice_en_41678018.mp3,0.4,Balangiga can be reached through public utility vans and buses from Tacloban City.,Balanjiga can be reached through public utility vans and buses from Tacloban City.,FAILED
29,common_voice_en_41678018.mp3,0.5,,,PASSED
29,common_voice_en_41678018.mp3,0.6,Balangiga can be reached through public utility vans and buses from Tacloban City.,Belongiga can be reached through public utility vans and buses from Tacloban City.,FAILED
29,common_voice_en_41678018.mp3,0.75,Balangiga can be reached through public utility vans and buses from Tacloban City.,Balanjiga can be reached through public utility vans and buses from Tacloban City.,FAILED
29,common_voice_en_41678018.mp3,1.0,,,PASSED
30,common_voice_en_41548292.mp3,0.0,,,PASSED
30,common_voice_en_41548292.mp3,0.25,,,PASSED
30,common_voice_en_41548292.mp3,0.4,,,PASSED
30,common_voice_en_41548292.mp3,0.5,,,PASSED
30,common_voice_en_41548292.mp3,0.6,,,PASSED
30,common_voice_en_41548292.mp3,0.75,,,PASSED
30,common_voice_en_41548292.mp3,1.0,,,PASSED
31,common_voice_en_41680077.mp3,0.0,"Considered a ""Shining Star"" of the Core Worlds.",Considered a shining star of the core worlds,FAILED
31,common_voice_en_41680077.mp3,0.25,"Considered a ""Shining Star"" of the Core Worlds.",Considered a shining star of the core worlds,FAILED
31,common_voice_en_41680077.mp3,0.4,"Considered a ""Shining Star"" of the Core Worlds.",Considered a shining star of the core worlds,FAILED
31,common_voice_en_41680077.mp3,0.5,"Considered a ""Shining Star"" of the Core Worlds.",considered a shining star of the core worlds,FAILED
31,common_voice_en_41680077.mp3,0.6,"Considered a ""Shining Star"" of the Core Worlds.",considered a shining star of the core worlds,FAILED
31,common_voice_en_41680077.mp3,0.75,"Considered a ""Shining Star"" of the Core Worlds.",CONSIDERED A SHINING STAR OF THE CORE WORLDS,FAILED
31,common_voice_en_41680077.mp3,1.0,"Considered a ""Shining Star"" of the Core Worlds.",considered a shining star of the core worlds,FAILED
32,common_voice_en_41798570.mp3,0.0,,,PASSED
32,common_voice_en_41798570.mp3,0.25,,,PASSED
32,common_voice_en_41798570.mp3,0.4,,,PASSED
32,common_voice_en_41798570.mp3,0.5,,,PASSED
32,common_voice_en_41798570.mp3,0.6,,,PASSED
32,common_voice_en_41798570.mp3,0.75,,,PASSED
32,common_voice_en_41798570.mp3,1.0,,,PASSED
33,common_voice_en_41295264.mp3,0.0,,,PASSED
33,common_voice_en_41295264.mp3,0.25,,,PASSED
33,common_voice_en_41295264.mp3,0.4,,,PASSED
33,common_voice_en_41295264.mp3,0.5,,,PASSED
33,common_voice_en_41295264.mp3,0.6,,,PASSED
33,common_voice_en_41295264.mp3,0.75,,,PASSED
33,common_voice_en_41295264.mp3,1.0,These may also be forgeries to conceal identities.,These may also be forgeries to conceal identities,FAILED
34,common_voice_en_41645566.mp3,0.0,,,PASSED
34,common_voice_en_41645566.mp3,0.25,,,PASSED
34,common_voice_en_41645566.mp3,0.4,,,PASSED
34,common_voice_en_41645566.mp3,0.5,,,PASSED
34,common_voice_en_41645566.mp3,0.6,,,PASSED
34,common_voice_en_41645566.mp3,0.75,Moore lives in Toronto.,More lives in Toronto.,FAILED
34,common_voice_en_41645566.mp3,1.0,,,PASSED
35,common_voice_en_41284140.mp3,0.0,"In Lao, represents a doubled word.",In Lao represents a doubled word.,FAILED
35,common_voice_en_41284140.mp3,0.25,"In Lao, represents a doubled word.",In Lao represents a doubled word.,FAILED
35,common_voice_en_41284140.mp3,0.4,"In Lao, represents a doubled word.",In Lao represents a doubled word.,FAILED
35,common_voice_en_41284140.mp3,0.5,"In Lao, represents a doubled word.",In Lao represents a double verb.,FAILED
35,common_voice_en_41284140.mp3,0.6,"In Lao, represents a doubled word.",In Lao represents a double word.,FAILED
35,common_voice_en_41284140.mp3,0.75,"In Lao, represents a doubled word.",In Lau represents a doubled word.,FAILED
35,common_voice_en_41284140.mp3,1.0,"In Lao, represents a doubled word.",In Lau represents a doubled word.,FAILED
36,common_voice_en_41550758.mp3,0.0,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
36,common_voice_en_41550758.mp3,0.25,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
36,common_voice_en_41550758.mp3,0.4,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
36,common_voice_en_41550758.mp3,0.5,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
36,common_voice_en_41550758.mp3,0.6,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
36,common_voice_en_41550758.mp3,0.75,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
36,common_voice_en_41550758.mp3,1.0,Many of the illustrations he created for the magazine depict characters seen the film.,Many of the illustrations he created for the magazine depict the characters in the film.,FAILED
37,common_voice_en_41543184.mp3,0.0,You just didn't bother saying 'this sucks' anymore.,"Sinä en kuitenkaan tarvitse sanoa, että tämä pahtaa enää.",FAILED
37,common_voice_en_41543184.mp3,0.25,You just didn't bother saying 'this sucks' anymore.,"Sinä ei vain tarvitse sanoa, että tämä pahtaa enää.",FAILED
37,common_voice_en_41543184.mp3,0.4,You just didn't bother saying 'this sucks' anymore.,"Sinä ei vain vaikuttaa sanomaan, että tämä hankkii vielä enemmän.",FAILED
37,common_voice_en_41543184.mp3,0.5,You just didn't bother saying 'this sucks' anymore.,"Sinä ei vain vaikeutunut sanoa, että tämä hankkii enää.",FAILED
37,common_voice_en_41543184.mp3,0.6,You just didn't bother saying 'this sucks' anymore.,"Sinä en aina halunnut sanoa, että tämä syksyä.",FAILED
37,common_voice_en_41543184.mp3,0.75,You just didn't bother saying 'this sucks' anymore.,"Sinä ei enää haittaa sanoa, että tämä on herkkyä.",FAILED
37,common_voice_en_41543184.mp3,1.0,You just didn't bother saying 'this sucks' anymore.,"teistä ei vaaheessan yleensä mahdu sanoa, että tämä on vittu.",FAILED
38,common_voice_en_41693119.mp3,0.0,"Its headquarters are in the town of Damaturu, the State capital.","Its headquarters are in the town of Demetru, the state capital.",FAILED
38,common_voice_en_41693119.mp3,0.25,"Its headquarters are in the town of Damaturu, the State capital.","Its headquarters are in the town of Demetru, the state capital.",FAILED
38,common_voice_en_41693119.mp3,0.4,"Its headquarters are in the town of Damaturu, the State capital.","Its headquarters are in the town of Demetru, the state capital.",FAILED
38,common_voice_en_41693119.mp3,0.5,"Its headquarters are in the town of Damaturu, the State capital.","It's headquarters are in the town of Dematru, the state capital.",FAILED
38,common_voice_en_41693119.mp3,0.6,"Its headquarters are in the town of Damaturu, the State capital.","Its headquarters are in the town of DeMattreux, the state capital.",FAILED
38,common_voice_en_41693119.mp3,0.75,"Its headquarters are in the town of Damaturu, the State capital.",It's headquarters are in the town of Demetru the State Capital.,FAILED
38,common_voice_en_41693119.mp3,1.0,"Its headquarters are in the town of Damaturu, the State capital.","Its headquarters are in the town of Demetru, the state capital.",FAILED
39,common_voice_en_41796793.mp3,0.0,This is a hard one because I don't really believe in god,これは難しいです。神に信じていないからです。,FAILED
39,common_voice_en_41796793.mp3,0.25,This is a hard one because I don't really believe in god,これは難しいです。本当に神に信じていないからです。,FAILED
39,common_voice_en_41796793.mp3,0.4,This is a hard one because I don't really believe in god,これは難しいです。神に信じられないからです。,FAILED
39,common_voice_en_41796793.mp3,0.5,This is a hard one because I don't really believe in god,これは難しいです。神に信じていないからです。,FAILED
39,common_voice_en_41796793.mp3,0.6,This is a hard one because I don't really believe in god,これは難しいです。神に信じていないからです。,FAILED
39,common_voice_en_41796793.mp3,0.75,This is a hard one because I don't really believe in god,これは難しいです。神に信じられないからです。,FAILED
39,common_voice_en_41796793.mp3,1.0,This is a hard one because I don't really believe in god,これは難しいから、本当に神を信じていないからだ。,FAILED
40,common_voice_en_41798305.mp3,0.0,The rank has a rather confusing history.,ランクの歴史はかなり混乱しています。,FAILED
40,common_voice_en_41798305.mp3,0.25,The rank has a rather confusing history.,ランクは結構混乱した歴史がある。,FAILED
40,common_voice_en_41798305.mp3,0.4,The rank has a rather confusing history.,ランクは結構混雑な歴史があります。,FAILED
40,common_voice_en_41798305.mp3,0.5,The rank has a rather confusing history.,ランクは結構混乱する歴史がある。,FAILED
